station_name,station_id,demand_hour,demand_day,lat,lng
16 St & 4 Ave,3811.05,0.46046952412189923,-0.10377380628649946,40.666197,-73.992466
Bushwick Ave & Furman Ave,4317.05,-1.0,-24.0,40.67713211666667,-73.90827465
55 Ave & 90 St,6005.04,0.7217479445602224,18.728254355712984,40.736772895,-73.873290658
Irving Ave & Jefferson St,5051.02,1.4642846511532415,47.278121115182685,40.705242634,-73.925468445
Harman St & Seneca Ave,5002.09,-0.35860007523722687,-6.404426009394989,40.705661297,-73.913049579
Kingston Ave & Park Pl,4016.03,2.690552648636518,87.13061148839304,40.67308,-73.94191
Malcolm X Blvd & DeKalb Ave,4648.03,0.1295648784102046,9.26049599133598,40.693836093,-73.931288838
76 St & 21 Ave,7032.02,-1.0,-24.0,40.770216584,-73.893632531
MacDougal St & Rockaway Ave,4212.01,-0.56339071671908,-15.334796528955732,40.68024838,-73.911504745
81 St & 24 Ave,6855.02,-1.0,-24.0,40.76465416,-73.888027549
Pacific St & Rochester Ave,4113.01,-0.5936825765902449,-15.837962378152632,40.676359057,-73.927326441
Central Ave & Melrose St,4832.07,0.8609150981626863,35.59549393618376,40.701154232,-73.930372357
Sedgwick Ave & W 231 St,8756.07,0.4491114184427283,13.5406677754702,40.875188589,-73.901198745
Fulton St & Williams Ave,4120.02,-0.6974979527076397,-18.37213606735019,40.677186012,-73.901006222
50 St & 7 Ave,3038.08,1.0,24.0,40.642519474,-74.006199121
Columbus Pl & Atlantic Ave,4146.02,1.1594933784143004,32.09888978026154,40.677157402,-73.922735929
Myrtle Ave & Lewis Ave,4729.01,1.598777511052874,56.54139525488595,40.69681963,-73.93756926
Manhattan Ave & Devoe St,5219.05,4.053147218493413,104.37064789462977,40.713532,-73.9459867
Broadway & Whipple St,4883.03,1.239090437663637,-1.9151585651266116,40.701751471,-73.943880916
Park Ave & St Edwards St,4700.06,2.170474490012422,57.756055380072226,40.69608941,-73.97803415
Front St & Gold St,4927.04,-0.9743297573735451,-15.938437667779795,40.702253699,-73.982465148
Manhattan Ave & Leonard St,5442.09,-0.36351609485984815,8.967682558592157,40.72084,-73.94844
Graham Ave & Withers St,5403.04,2.5281202664047058,48.6397516904941,40.716959476,-73.944782138
30 St & 4 Ave,3564.04,0.10703483589620211,-4.374722431115037,40.657778025,-74.001160741
Suydam St & St Nicholas Ave,5043.06,1.8155491744274261,38.071436953796834,40.706205368,-73.919686556
31 Ave & 30 St,6857.09,3.5025469485183622,80.1389871524799,40.764634371,-73.923855782
St Johns Pl & Washington Ave,4001.09,0.3136944388731435,26.893071668496326,40.6737236,-73.9631611
Scholes St & Lorimer St,5076.04,1.5852721463328203,48.619061308676486,40.708352208,-73.948794723
Steinway St & 21 Ave,7137.04,-0.278232513523482,-18.749929293473603,40.774880052,-73.903494954
33 St & 47 Ave,6185.04,-0.3156760291902433,-5.815995800771123,40.742938876,-73.932094932
Corona Ave & 102 St,6222.04,-0.7686226643532572,-19.00125049598583,40.744240999,-73.861934423
E 157 St & River Ave,8005.03,-0.23772159715738994,-10.601611182761076,40.825737,-73.927311
Dyckman St & Henshaw St,8636.04,3.95519707633192,101.20169184339017,40.867489815,-73.929516196
West Thames St,5114.06,-1.5723866416597683,-27.40726343360386,40.708359599,-74.017199159
Henry St & Bay St,3972.08,0.7066509989935643,24.305068040932447,40.672516346,-74.004950643
55 Ave & 97 Pl,6070.05,0.857634361268671,20.99350424978583,40.73892,-73.86367
41 Ave & 77 St,6290.06,-1.3616810372185886,-47.89167584341558,40.745548606,-73.88821137
3 Ave & E 100 St,7414.17,0.1602554682992352,40.66421798747333,40.787825346,-73.947221994
Kingston Ave & Montgomery St,3759.07,-2.44995423490864,-55.544053838934694,40.66481,-73.94269
24 Ave & 29 St,7119.04,-5.177760696994682,-108.86873948735759,40.7729,-73.916142
St Marks Ave & Thomas S. Boyland St,4023.01,0.9106980163854073,22.025736941389372,40.673175097,-73.913854957
N Henry St & Norman Ave,5656.03,-0.9841131917050948,-16.047153689280485,40.7277,-73.94395
